Fiyat (Metin),Fiyat (Sayisal),Konum,Last Update Date,Number Of Room + Hall,Number of Bathrooms,Gross / Net m²,Number of Floors,Floor,Property Age,Heating Type,Title Deed Status,Furnishing Status,Usage Status
4.350.000 TRY,4350000.0,dumlupinar,04-09-2025,2 + 1,1.0,"65 m2 
/ 60 m2",4 Storey,4.,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
4.450.000 TRY,4450000.0,menderes,15-10-2025,3 + 1,1.0,"110 m2 
/ 104 m2",4 Storey,2.,30 at Age,Combi Boiler,Condominium,Furnished,Empty
2.750.000 TRY,2750000.0,inkilap,02-10-2025,3 + 1,1.0,"125 m2 
/ 120 m2",4 Storey,Ground,35 at Age,Combi Boiler,Floor Easement,,Tenanted
4.500.000 TRY,4500000.0,baris,22-08-2025,3 + 1,1.0,"125 m2 
/ 120 m2",4 Storey,4.,30 at Age,Combi Boiler,Condominium,Not Furnished,
2.950.000 TRY,2950000.0,dicle,23-10-2025,2 + 1,1.0,"120 m2 
/ 88 m2",4 Storey,Raised Ground,23 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
3.750.000 TRY,3750000.0,kozagac,05-10-2025,3 + 1,1.0,"120 m2 
/ 110 m2",4 Storey,2.,26 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
3.850.000 TRY,3850000.0,hurriyet,13-08-2025,2 + 1,1.0,"70 m2 
/ 65 m2",4 Storey,Middle,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
3.850.000 TRY,3850000.0,hurriyet,14-08-2025,2 + 1,1.0,"70 m2 
/ 65 m2",4 Storey,3.,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
2.850.000 TRY,2850000.0,hurriyet,13-08-2025,1 + 1,1.0,"50 m2 
/ 48 m2",4 Storey,Middle,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
2.495.000 TRY,2495000.0,adatepe,11-10-2025,1 + 1,1.0,"58 m2 
/ 52 m2",2 Storey,2.,5 at Age,Combi Boiler,Floor Easement,Furnished,Empty
6.900.000 TRY,6900000.0,yenigun,23-09-2025,3 + 1,2.0,"135 m2 
/ 120 m2",8 Storey,8.,16 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
4.250.000 TRY,4250000.0,menderes,20-10-2025,3 + 1,1.0,"135 m2 
/ 125 m2",4 Storey,4.,21 at Age,Combi Boiler,Condominium,Not Furnished,Empty
3.200.000 TRY,3200000.0,kozagac,18-10-2025,2 + 1,1.0,"70 m2 
/ 60 m2",4 Storey,2.,2 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
5.250.000 TRY,5250000.0,menderes,15-09-2025,2 + 1,1.0,"83 m2 
/ 81 m2",4 Storey,Raised Ground,5 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
4.850.000 TRY,4850000.0,dicle,09-10-2025,2 + 1,1.0,"120 m2 
/ 110 m2",4 Storey,4.,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
4.000.000 TRY,4000000.0,firat,10-10-2025,3 + 1,1.0,"130 m2 
/ 115 m2",5 Storey,3.,25 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
3.900.000 TRY,3900000.0,akincilar,18-08-2025,3 + 1,1.0,"145 m2 
/ 135 m2",4 Storey,4.,26 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
3.150.000 TRY,3150000.0,inonu,13-08-2025,2 + 1,1.0,"166 m2 
/ 140 m2",4 Storey,4.,26 at Age,Combi Boiler,Condominium,Not Furnished,Tenanted
2.550.000 TRY,2550000.0,ataturk,18-10-2025,1 + 1,1.0,"48 m2 
/ 45 m2",4 Storey,2.,5 at Age,Air Conditioning,Floor Easement,Furnished,Tenanted
4.400.000 TRY,4400000.0,akincilar,04-09-2025,3 + 1,1.0,"145 m2 
/ 135 m2",4 Storey,2.,31 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
6.000.000 TRY,6000000.0,yildiz,17-10-2025,2 + 1,2.0,"100 m2 
/ 90 m2",10 Storey,7.,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
5.000.000 TRY,5000000.0,baris,04-10-2025,2 + 1,1.0,"90 m2 
/ 80 m2",3 Storey,Raised Ground,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
3.300.000 TRY,3300000.0,kurucesme,14-10-2025,1 + 1,1.0,"50 m2 
/ 40 m2",4 Storey,3.,New Property,Underfloor Heating,Floor Easement,Not Furnished,Empty
5.500.000 TRY,5500000.0,camlipinar,19-09-2025,2 + 1,2.0,"90 m2 
/ 82 m2",11 Storey,7.,New Property,Underfloor Heating,Floor Easement,Not Furnished,Empty
4.275.000 TRY,4275000.0,menderes,15-10-2025,2 + 1,1.0,"135 m2 
/ 105 m2",3 Storey,2.,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
5.450.000 TRY,5450000.0,yenigun,23-10-2025,3 + 1,2.0,"135 m2 
/ 125 m2",9 Storey,1.,9 at Age,Central Heating (Share Meter),Floor Easement,Not Furnished,
5.950.000 TRY,5950000.0,dicle,21-08-2025,3 + 1,2.0,"148 m2 
/ 137 m2",4 Storey,2.,New Property,Underfloor Heating,Condominium,Not Furnished,Empty
4.000.000 TRY,4000000.0,yildiz,07-10-2025,3 + 1,2.0,"130 m2 
/ 120 m2",8 Storey,2.,16 at Age,Gas Stove,Condominium,,Owner
2.750.000 TRY,2750000.0,laleli,05-09-2025,3 + 1,1.0,"120 m2 
/ 118 m2",5 Storey,Ground,28 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
