Fiyat (Metin),Fiyat (Sayisal),Konum,Last Update Date,Number Of Room + Hall,Number of Bathrooms,Gross / Net m²,Number of Floors,Floor,Property Age,Heating Type,Title Deed Status,Furnishing Status,Usage Status
2.975.000 TRY,2975000.0,kozagac,15-08-2025,1 + 1,1.0,"65 m2 
/ 60 m2",4 Storey,2.,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
3.900.000 TRY,3900000.0,firat,23-09-2025,3 + 1,1.0,"140 m2 
/ 125 m2",8 Storey,4.,21 at Age,Combi Boiler,Condominium,Not Furnished,Tenanted
4.500.000 TRY,4500000.0,kurucesme,21-10-2025,2 + 1,1.0,"75 m2 
/ 60 m2",11 Storey,3.,5 at Age,Underfloor Heating,Floor Easement,Not Furnished,Tenanted
4.850.000 TRY,4850000.0,mustafa-kemal,18-09-2025,2 + 1,2.0,"112 m2 
/ 102 m2",7 Storey,6.,2 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
7.000.000 TRY,7000000.0,akincilar,15-10-2025,3 + 1,2.0,"220 m2 
/ 175 m2",3 Storey,3.,11 at Age,Combi Boiler,Condominium,Not Furnished,Empty
4.100.000 TRY,4100000.0,firat,18-10-2025,2 + 1,2.0,"100 m2 
/ 90 m2",2 Storey,Middle,9 at Age,Combi Boiler,Condominium,Furnished,Empty
3.250.000 TRY,3250000.0,hurriyet,16-10-2025,2 + 1,1.0,"130 m2 
/ 90 m2",4 Storey,Underground 1,4 at Age,Heating Stove,Condominium,Not Furnished,Owner
3.700.000 TRY,3700000.0,efeler,17-10-2025,3 + 1,1.0,"109 m2 
/ 95 m2",4 Storey,3.,33 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
1.165.000 TRY,1165000.0,kurucesme,24-10-2025,1 + 1,1.0,"58 m2 
/ 52 m2",4 Storey,2.,New Property,Combi Boiler,Condominium,Furnished,Empty
6.000.000 TRY,6000000.0,baris,04-10-2025,2 + 1,1.0,"95 m2 
/ 85 m2",3 Storey,Middle,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
6.000.000 TRY,6000000.0,hurriyet,16-09-2025,3 + 1,1.0,"155 m2 
/ 145 m2",4 Storey,Top,28 at Age,Combi Boiler,Condominium,Not Furnished,Owner
4.780.000 TRY,4780000.0,buca-koop,11-10-2025,3 + 1,,"125 m2 
/ 120 m2",9 Storey,6.,21 at Age,Combi Boiler,Condominium,Not Furnished,Empty
2.450.000 TRY,2450000.0,adatepe,21-10-2025,1 + 1,1.0,"60 m2 
/ 55 m2",3 Storey,3.,1 at Age,Air Conditioning,Floor Easement,Not Furnished,Empty
7.000.000 TRY,7000000.0,inkilap,05-09-2025,3 + 1,1.0,"155 m2 
/ 134 m2",4 Storey,Raised Ground,5 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
5.750.000 TRY,5750000.0,kurucesme,09-10-2025,2 + 1,1.0,"90 m2 
/ 75 m2",14 Storey,Top,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
5.250.000 TRY,5250000.0,baris,20-10-2025,3 + 1,1.0,"135 m2 
/ 125 m2",4 Storey,2.,26 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
5.150.000 TRY,5150000.0,camlipinar,14-10-2025,2 + 1,2.0,"100 m2 
/ 90 m2",11 Storey,3.,New Property,Underfloor Heating,Condominium,Not Furnished,Empty
3.175.000 TRY,3175000.0,kozagac,18-10-2025,2 + 1,1.0,"70 m2 
/ 60 m2",4 Storey,2.,2 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
5.100.000 TRY,5100000.0,yaylacik,17-10-2025,3 + 1,1.0,"130 m2 
/ 120 m2",4 Storey,2.,9 at Age,Combi Boiler,Condominium,Not Furnished,Owner
3.700.000 TRY,3700000.0,menderes,14-09-2025,3 + 1,1.0,"110 m2 
/ 90 m2",4 Storey,4.,31 at Age,Combi Boiler,Condominium,Not Furnished,Empty
3.500.000 TRY,3500000.0,guven,29-09-2025,2 + 1,1.0,"80 m2 
/ 75 m2",4 Storey,4.,40 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
5.400.000 TRY,5400000.0,yaylacik,08-10-2025,3 + 1,2.0,"150 m2 
/ 140 m2",4 Storey,Raised Ground,16 at Age,Combi Boiler,Floor Easement,Not Furnished,Tenanted
5.100.000 TRY,5100000.0,camlipinar,14-10-2025,2 + 1,2.0,"100 m2 
/ 90 m2",11 Storey,3.,New Property,Underfloor Heating,Condominium,Not Furnished,Empty
4.000.000 TRY,4000000.0,camlipinar,20-10-2025,2 + 1,1.0,"100 m2 
/ 95 m2",8 Storey,Ground,3 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
3.250.000 TRY,3250000.0,hurriyet,07-10-2025,2 + 1,1.0,"100 m2 
/ 90 m2",4 Storey,4.,30 at Age,Combi Boiler,Condominium,Not Furnished,Owner
3.500.000 TRY,3500000.0,firat,20-10-2025,3 + 1,1.0,"125 m2 
/ 120 m2",8 Storey,8.,31 at Age,Combi Boiler,Condominium,,Empty
4.200.000 TRY,4200000.0,ataturk,14-10-2025,3 + 1,1.0,"120 m2 
/ 100 m2",8 Storey,1.,21 at Age,No Heating,Condominium,Not Furnished,Tenanted
9.300.000 TRY,9300000.0,efeler,24-10-2025,3 + 1,1.0,"145 m2 
/ 120 m2",4 Storey,2.,7 at Age,Underfloor Heating,Floor Easement,Not Furnished,Tenanted
7.000.000 TRY,7000000.0,buca-koop,23-09-2025,3 + 1,1.0,"125 m2 
/ 120 m2",6 Storey,2.,12 at Age,Combi Boiler,Condominium,Not Furnished,Tenanted
3.800.000 TRY,3800000.0,efeler,06-10-2025,3 + 1,1.0,"110 m2 
/ 100 m2",4 Storey,2.,31 at Age,Air Conditioning,Condominium,Not Furnished,Tenanted
1.950.000 TRY,1950000.0,kurucesme,17-10-2025,1 + 1,1.0,"48 m2 
/ 42 m2",2 Storey,Raised Ground,5 at Age,Air Conditioning,Floor Easement,Furnished,Tenanted
3.000.000 TRY,3000000.0,adatepe,01-10-2025,1 + 1,1.0,"55 m2 
/ 50 m2",3 Storey,2.,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
3.700.000 TRY,3700000.0,akincilar,23-09-2025,2 + 1,1.0,"90 m2 
/ 75 m2",4 Storey,Garden,3 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
2.450.000 TRY,2450000.0,inonu,16-10-2025,2 + 1,1.0,"80 m2 
/ 75 m2",3 Storey,Raised Ground,New Property,Combi Boiler,Condominium,Not Furnished,Empty
3.890.000 TRY,3890000.0,mustafa-kemal,04-10-2025,2 + 1,1.0,"100 m2 
/ 90 m2",4 Storey,4.,1 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
5.799.000 TRY,5799000.0,laleli,04-09-2025,2 + 1,1.0,"210 m2 
/ 195 m2",5 Storey,Raised Ground,19 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
9.950.000 TRY,9950000.0,akincilar,20-10-2025,3 + 1,2.0,"165 m2 
/ 144 m2",9 Storey,2.,4 at Age,Underfloor Heating,Floor Easement,Not Furnished,Owner
9.000.000 TRY,9000000.0,camlikule,05-09-2025,3 + 1,1.0,"126 m2 
/ 120 m2",5 Storey,2.,7 at Age,Combi Boiler,Floor Easement,,Tenanted
2.800.000 TRY,2800000.0,yildiz,18-10-2025,1 + 1,1.0,"55 m2 
/ 51 m2",3 Storey,Ground,New Property,Combi Boiler,Floor Easement,Furnished,
5.250.000 TRY,5250000.0,yenigun,17-10-2025,3 + 1,1.0,"150 m2 
/ 140 m2",9 Storey,9.,16 at Age,Combi Boiler,Condominium,Not Furnished,
4.750.000 TRY,4750000.0,efeler,19-09-2025,2 + 1,1.0,"72 m2 
/ 65 m2",4 Storey,Middle,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
2.550.000 TRY,2550000.0,yaylacik,21-10-2025,1 + 1,1.0,"55 m2 
/ 50 m2",7 Storey,Raised Ground,New Property,Combi Boiler,Floor Easement,Not Furnished,Empty
1.215.000 TRY,1215000.0,ataturk,23-10-2025,1 + 1,1.0,"55 m2 
/ 50 m2",4 Storey,3.,1 at Age,Combi Boiler,Floor Easement,Furnished,Empty
3.975.000 TRY,3975000.0,laleli,15-10-2025,3 + 1,1.0,"135 m2 
/ 118 m2",5 Storey,3.,31 at Age,Combi Boiler,Floor Easement,Not Furnished,Empty
3.950.000 TRY,3950000.0,yildiz,20-10-2025,3 + 1,1.0,"110 m2 
/ 100 m2",5 Storey,Middle,30 at Age,Combi Boiler,Condominium,Not Furnished,Tenanted
2.350.000 TRY,2350000.0,yildiz,15-09-2025,1 + 1,1.0,"45 m2 
/ 40 m2",4 Storey,Ground,17 at Age,Combi Boiler,Condominium,Furnished,Empty
2.600.000 TRY,2600000.0,yigitler,29-09-2025,1 + 1,1.0,"80 m2 
/ 65 m2",5 Storey,Ground,16 at Age,Combi Boiler,Condominium,Not Furnished,Owner
2.795.000 TRY,2795000.0,adatepe,13-10-2025,1 + 1,1.0,"50 m2 
/ 45 m2",6 Storey,3.,1 at Age,Underfloor Heating,Floor Easement,Not Furnished,Empty
3.850.000 TRY,3850000.0,kozagac,09-10-2025,3 + 1,1.0,"125 m2 
/ 115 m2",4 Storey,2.,26 at Age,Combi Boiler,Condominium,Not Furnished,Owner
4.600.000 TRY,4600000.0,yildiz,05-10-2025,3 + 1,1.0,"138 m2 
/ 130 m2",4 Storey,3.,10 at Age,Combi Boiler,Floor Easement,Not Furnished,Owner
