Link,Baslik,Fiyat (Metin),Fiyat (Sayisal),Konum,Listing No,Last Update Date,Listing status,Residence Type,Number Of Room + Hall,Number of Bathrooms,Gross / Net m²,Number of Floors,Floor,Property Age,Heating Type,Loan Availability,Title Deed Status,Furnishing Status,Usage Status,Swap,Facade
https://www.hepsiemlak.com/en/izmir-buca-firat-satilik/daire/149571-78,"116 Square Meters Apartment For Sale in Buca, Izmir",3.100.000 TRY,3100000.0,firat,149571-78,22/10/2025,For Sale,Apartment,2 + 1,1.0,"116 m2 
/ 100 m2",3 Storey,Ground,21 at Age,No Heating,Available,Condominium,Not Furnished,Empty,No,"North, South, East, West"
https://www.hepsiemlak.com/en/izmir-buca-buca-koop-satilik/daire/141901-595,"135 Square Meters Apartment For Sale in Buca, Izmir",6.350.000 TRY,6350000.0,buca-koop,141901-595,14/10/2025,For Sale,Apartment,3 + 1,2.0,"135 m2 
/ 125 m2",9 Storey,2,1 at Age,Combi Boiler,Not Available,Floor Easement,Not Furnished,Empty,No,"North, West"
https://www.hepsiemlak.com/en/izmir-buca-firat-satilik/daire/112720-72,"135 Square Meters Apartment For Sale in Buca, Izmir",3.500.000 TRY,3500000.0,firat,112720-72,22/10/2025,For Sale,Apartment,3 + 1,1.0,"135 m2 
/ 125 m2",4 Storey,Raised Ground,16 at Age,No Heating,Available,Floor Easement,Not Furnished,Empty,No,
https://www.hepsiemlak.com/en/izmir-buca-inkilap-satilik/daire/154502-114,"137 Square Meters Apartment For Sale in Buca, Izmir",4.320.000 TRY,4320000.0,inkilap,154502-114,20/10/2025,For Sale,Apartment,3 + 1,1.0,"137 m2 
/ 126 m2",5 Storey,5,31 at Age,Combi Boiler,Available,Floor Easement,Not Furnished,Tenanted,No,"North, South, East, West"
https://www.hepsiemlak.com/en/izmir-buca-kurucesme-satilik/daire/158709-58,"60 Square Meters Apartment For Sale in Buca, Izmir",1.840.000 TRY,1840000.0,kurucesme,158709-58,23/10/2025,For Sale,Apartment,1 + 1,1.0,"60 m2 
/ 55 m2",5 Storey,4,1 at Age,Combi Boiler,Available,Condominium,Furnished,Tenanted,No,West
https://www.hepsiemlak.com/en/izmir-buca-kurucesme-satilik/daire/145398-127,"90 Square Meters Apartment For Sale in Buca, Izmir",2.850.000 TRY,2850000.0,kurucesme,145398-127,01/09/2025,For Sale,Apartment,2 + 1,1.0,"90 m2 
/ 85 m2",5 Storey,Ground,7 at Age,Air Conditioning,Available,Floor Easement,Not Furnished,,,
https://www.hepsiemlak.com/en/izmir-buca-vali-rahmi-bey-satilik/daire/146973-24,"135 Square Meters Apartment For Sale in Buca, Izmir",3.700.000 TRY,3700000.0,vali-rahmi-bey,146973-24,20/10/2025,For Sale,Apartment,3 + 1,1.0,"135 m2 
/ 128 m2",4 Storey,1,38 at Age,Combi Boiler,Available,Condominium,Not Furnished,Empty,No,North
https://www.hepsiemlak.com/en/izmir-buca-adatepe-satilik/daire/143819-138,"50 Square Meters Apartment For Sale in Buca, Izmir",3.000.000 TRY,3000000.0,adatepe,143819-138,14/10/2025,For Sale,Apartment,1 + 1,1.0,"50 m2 
/ 45 m2",5 Storey,5,New Property,Central Heating (Share Meter),Available,Floor Easement,Furnished,Empty,No,South
https://www.hepsiemlak.com/en/izmir-buca-guven-satilik/daire/80082-237,"87 Square Meters Apartment For Sale in Buca, Izmir",2.800.000 TRY,2800000.0,guven,80082-237,23/10/2025,For Sale,Apartment,2 + 1,1.0,"87 m2 
/ 70 m2",5 Storey,Top,40 at Age,Air Conditioning,Available,Condominium,Not Furnished,Empty,No,"South, West"
https://www.hepsiemlak.com/en/izmir-buca-laleli-satilik/daire/159840-14,"105 Square Meters Apartment For Sale in Buca, Izmir",5.250.000 TRY,5250000.0,laleli,159840-14,26/08/2025,For Sale,Apartment,2 + 1,1.0,"105 m2 
/ 88 m2",5 Storey,5,New Property,Combi Boiler,Available,Floor Easement,Not Furnished,Empty,No,
