Link,Baslik,Fiyat (Metin),Fiyat (Sayisal),Konum,Listing No,Last Update Date,Listing status,Residence Type,Number Of Room + Hall,Number of Bathrooms,Gross / Net m²,Number of Floors,Floor,Property Age,Heating Type,Loan Availability,Title Deed Status,Furnishing Status,Usage Status,Inside The Site,Swap,Facade,Property Structure,Fuel Type,Structure Type,State of the Building,Rental Income,Dues,Authorized Office,Last Update Dat...,Number Of Room ...,Number of Bathr...,Number of Floor...,Loan Availabili...,Title Deed Stat...,Furnishing Stat...,Closed Area M2,Open Area M2,Property Struct...,State of the Bu...,Authorized Offi...
https://www.hepsiemlak.com/en/izmir-buca-menderes-satilik/daire/139799-918,"55 Square Meters Apartment For Sale in Buca, Izmir",4.000.000 TRY,4000000.0,,139799-918,,For Sale,Apartment,,,"55 m2 
/ 45 m2",,2.,New Property,Underfloor Heat...,,,,Empty,,No,,,,,,,250 TRY,,13-09-2025,1 + 1,1,3 Storey,Available,Floor Easement,Not Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-kurucesme-satilik/daire/153834-31,"60 Square Meters Apartment For Sale in Buca, Izmir",3.250.000 TRY,3250000.0,,153834-31,,For Sale,Apartment,,,"60 m2 
/ 50 m2",,7.,5 at Age,Central Heating...,,,,Empty,4 Life Sitesi,No,,,,,,,,,19-09-2025,1 + 1,1,9 Storey,Available,Floor Easement,Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-mustafa-kemal-satilik/daire/151012-34,"128 Square Meters Apartment For Sale in Buca, Izmir",4.750.000 TRY,4750000.0,,151012-34,,For Sale,Apartment,,,"128 m2 
/ 120 m2",,2.,5 at Age,Combi Boiler,,,,Owner,Yes,No,"South, East",,,,,,200 TRY,,08-10-2025,3 + 1,1,3 Storey,Available,Floor Easement,Not Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-kozagac-satilik/daire/111716-1517,"155 Square Meters Apartment For Sale in Buca, Izmir",4.200.000 TRY,4200000.0,,111716-1517,,For Sale,Apartment,,,"155 m2 
/ 145 m2",,Raised Ground F...,25 at Age,Combi Boiler,,,,Empty,,,"South, East, West",,Gas,Reinforced Conc...,,,,,07-10-2025,3 + 1,1,3 Storey,Available,Condominium,Furnished,,,Daire,,
https://www.hepsiemlak.com/en/izmir-buca-efeler-satilik/daire/70103-1046,"130 Square Meters Apartment For Sale in Buca, Izmir",4.750.000 TRY,4750000.0,,70103-1046,,For Sale,Apartment,,,"130 m2 
/ 122 m2",,Top,15 at Age,Combi Boiler,,,,Empty,,No,"East, West",,Gas,Reinforced Conc...,,25.000 TRY,100 TRY,,11-10-2025,3 + 1,1,4 Storey,Available,Floor Easement,Not Furnished,,,Daire,Second Hand,Yes
https://www.hepsiemlak.com/en/izmir-buca-kurucesme-satilik/daire/151931-24,"90 Square Meters Apartment For Sale in Buca, Izmir",4.475.000 TRY,4475000.0,,151931-24,,For Sale,Apartment,,,"90 m2 
/ 85 m2",,7.,5 at Age,Combi Boiler,,,,Owner,,No,South,,,,,,,,28-07-2025,2 + 1,1,7 Storey,Available,Floor Easement,Not Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-kurucesme-satilik/daire/148313-53,"64 Square Meters Apartment For Sale in Buca, Izmir",1.930.000 TRY,1930000.0,,148313-53,,For Sale,Apartment,,,"64 m2 
/ 58 m2",,Middle,3 at Age,Combi Boiler,,,,Empty,,No,"South, East",,Gas,Reinforced Conc...,,20.000 TRY,200 TRY,,14-10-2025,1 + 1,1,4 Storey,Available,Floor Easement,Furnished,,,Daire,Second Hand,Yes
https://www.hepsiemlak.com/en/izmir-buca-firat-satilik/daire/24511-9448,"135 Square Meters Apartment For Sale in Buca, Izmir",4.480.000 TRY,4480000.0,,24511-9448,,For Sale,Apartment,,,"135 m2 
/ 120 m2",,7.,24 at Age,Combi Boiler,,,,Owner,,No,"South, West",,Gas,Reinforced Conc...,,25.000 TRY,,,06-09-2025,3 + 1,1,8 Storey,Available,Floor Easement,Not Furnished,,,Daire,Second Hand,Yes
https://www.hepsiemlak.com/en/izmir-buca-yaylacik-satilik/daire/159862-30,"48 Square Meters Apartment For Sale in Buca, Izmir",2.600.000 TRY,2600000.0,,159862-30,,For Sale,Apartment,,,"48 m2 
/ 42 m2",,1.,New Property,Combi Boiler,,,,Empty,,No,,,,,,,,,26-08-2025,1 + 1,1,6 Storey,Available,Condominium,Not Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-adatepe-satilik/daire/151931-21,"45 Square Meters Apartment For Sale in Buca, Izmir",2.385.000 TRY,2385000.0,,151931-21,,For Sale,Apartment,,,"45 m2 
/ 40 m2",,Ground,1 at Age,Combi Boiler,,,,Tenanted,,No,South,,,,,,,,28-07-2025,1 + 1,1,4 Storey,Available,Floor Easement,Not Furnished,,,,,
